Restaurant Name,Mindestbestellwert,Lieferzeit (Minuten),Lieferkosten (EUR),Kategorie,Typ,Preis
Sushi Bar,21.5,50,3.5,Sushi,Gefluegel,Teuer
Sakura Sushi,16.0,42,5.5,Sushi,Rind,Mittelpreisig
Tokyo Sushi,27.5,57,3.0,Sushi,Vegan,Teuer
Sushi Express,15.5,49,5.0,Sushi,Rind,Teuer
Ocean Sushi,24.0,70,4.5,Sushi,Vegan,Mittelpreisig
Sushi Garden,25.0,45,5.5,Sushi,Rind,Mittelpreisig
Mikado Sushi,29.5,43,5.5,Sushi,Rind,Guenstig
Zen Sushi,16.5,54,5.0,Sushi,Gefluegel,Guenstig
Yama Sushi,26.5,46,7.0,Sushi,Rind,Guenstig
Sushi World,27.0,70,3.5,Sushi,Gefluegel,Mittelpreisig
Wasabi Sushi,29.5,73,3.5,Sushi,Rind,Teuer
Sushi Palace,23.0,52,6.0,Sushi,Gefluegel,Guenstig
Sushiro,19.5,54,6.5,Sushi,Vegan,Mittelpreisig
Sushi Station,29.0,66,4.0,Sushi,Gefluegel,Guenstig
Sushi House,25.5,71,4.0,Sushi,Vegan,Mittelpreisig
Sushi Time,17.5,72,4.5,Sushi,Gefluegel,Teuer
Sushi Planet,28.5,48,4.0,Sushi,Gefluegel,Mittelpreisig
Sushi Boat,26.0,74,5.5,Sushi,Vegan,Guenstig
Sushi Land,27.5,41,6.0,Sushi,Rind,Guenstig
Sushi Cove,28.5,68,4.0,Sushi,Vegan,Teuer
Sushi Ninja,28.0,45,3.5,Sushi,Rind,Guenstig
Sushi Kingdom,26.5,67,4.5,Sushi,Gefluegel,Guenstig
Sushi Bay,27.5,64,6.5,Sushi,Rind,Mittelpreisig
Sushi Island,22.0,41,5.0,Sushi,Vegan,Teuer
Sushi Heaven,22.0,57,4.0,Sushi,Vegan,Guenstig
Sushi Zenith,27.5,62,5.5,Sushi,Gefluegel,Guenstig
Sushi Fusion,30.0,45,5.5,Sushi,Vegan,Mittelpreisig
Sushi Oasis,18.5,70,6.0,Sushi,Vegan,Mittelpreisig
Sushi Harbor,25.5,55,6.0,Sushi,Vegan,Mittelpreisig
Sushi Cove,24.0,60,5.0,Sushi,Gefluegel,Mittelpreisig
Sushi Garden,20.5,56,5.0,Sushi,Rind,Mittelpreisig
Sushi Fusion,16.5,44,5.5,Sushi,Gefluegel,Guenstig
Sushi Harbor,29.5,47,3.0,Sushi,Rind,Mittelpreisig
Sushi Island,16.0,56,6.0,Sushi,Gefluegel,Guenstig
Sushi Kingdom,20.0,61,7.0,Sushi,Vegan,Teuer
Sushi Land,28.5,70,5.5,Sushi,Gefluegel,Guenstig
Sushi Ninja,28.5,40,6.5,Sushi,Gefluegel,Mittelpreisig
Sushi Oasis,17.5,68,6.0,Sushi,Gefluegel,Guenstig
Sushi Planet,27.0,51,4.0,Sushi,Vegan,Teuer
Sushi Zenith,23.5,55,6.5,Sushi,Rind,Mittelpreisig
